keyCompany,stockCodeCompany,nameCompany,sectorCodeCompany,sectorCompany,segmentCompany
1,BRAP4,BRADESPAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
2,PMAM3,PARANAPANEMA,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
3,CSNA3,SID NACIONAL,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
4,SUZB3,SUZANO S.A.,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
5,BRKM5,BRASKEM,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
6,RANI3,IRANI,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
7,DEXP3,DEXXOS PAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
8,GGBR4,GERDAU,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
9,UNIP6,UNIPAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
10,KLBN11,KLABIN S/A,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
11,GOAU4,GERDAU MET,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
12,DXCO3,DEXCO,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
13,USIM3,USIMINAS,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
14,USIM5,USIMINAS,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
15,FESA4,FERBASA,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
16,VALE3,VALE,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
17,AALR3,ALLIAR,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
18,ALPA4,ALPARGATAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
19,ABEV3,AMBEV S/A,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
20,AMER3,AMERICANAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
21,ANIM3,ANIMA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
