keyTime,datetime,dayTime,dayWeekTime,dayWeekAbbrevTime,dayWeekCompleteTime,monthTime,monthAbbrevTime,monthCompleteTime,bimonthTime,quarterTime,semesterTime,yearTime
1,1994-07-01,1,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
2,1994-07-02,2,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
3,1994-07-03,3,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
4,1994-07-04,4,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
5,1994-07-05,5,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
6,1994-07-06,6,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
7,1994-07-07,7,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
8,1994-07-08,8,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
9,1994-07-09,9,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
10,1994-07-10,10,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
11,1994-07-11,11,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
12,1994-07-12,12,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
13,1994-07-13,13,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
14,1994-07-14,14,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
15,1994-07-15,15,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
16,1994-07-16,16,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
17,1994-07-17,17,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
18,1994-07-18,18,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
19,1994-07-19,19,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
20,1994-07-20,20,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
21,1994-07-21,21,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
22,1994-07-22,22,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
23,1994-07-23,23,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
24,1994-07-24,24,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
25,1994-07-25,25,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
26,1994-07-26,26,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
27,1994-07-27,27,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
28,1994-07-28,28,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
29,1994-07-29,29,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
30,1994-07-30,30,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
31,1994-07-31,31,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
32,1994-08-01,1,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
33,1994-08-02,2,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
34,1994-08-03,3,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
35,1994-08-04,4,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
36,1994-08-05,5,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
37,1994-08-06,6,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
38,1994-08-07,7,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
39,1994-08-08,8,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
40,1994-08-09,9,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
41,1994-08-10,10,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
42,1994-08-11,11,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
43,1994-08-12,12,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
44,1994-08-13,13,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
45,1994-08-14,14,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
46,1994-08-15,15,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
47,1994-08-16,16,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
48,1994-08-17,17,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
49,1994-08-18,18,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
50,1994-08-19,19,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
51,1994-08-20,20,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
52,1994-08-21,21,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
53,1994-08-22,22,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
54,1994-08-23,23,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
55,1994-08-24,24,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
56,1994-08-25,25,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
57,1994-08-26,26,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
58,1994-08-27,27,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
59,1994-08-28,28,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
60,1994-08-29,29,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
61,1994-08-30,30,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
