keyTime,keyCoin,valueCoin
4,1,0.94
4,2,2.51
5,1,0.93
5,2,2.62
6,1,0.92
6,2,2.44
7,1,0.91
7,2,2.3
8,1,0.92
8,2,2.31
9,1,0.93
9,2,2.57
10,1,0.92
10,2,2.43
11,1,0.92
11,2,2.43
12,1,0.93
12,2,2.53
13,1,0.94
13,2,2.48
14,1,0.94
14,2,2.49
15,1,0.94
15,2,2.52
16,1,0.93
16,2,2.4
17,1,0.93
17,2,2.45
18,1,0.94
18,2,2.61
19,1,0.94
19,2,2.46
20,1,0.93
20,2,2.42
21,1,0.94
21,2,2.39
22,1,0.94
22,2,2.44
23,1,0.94
23,2,2.34
24,1,0.93
24,2,2.3
25,1,0.92
25,2,2.42
26,1,0.91
26,2,2.54
27,1,0.91
27,2,2.45
28,1,0.91
28,2,2.43
29,1,0.91
29,2,2.5
30,1,0.89
30,2,2.32
31,1,0.89
31,2,2.32
32,1,0.89
32,2,2.26
33,1,0.91
33,2,2.55
34,1,0.9
34,2,2.4
35,1,0.9
35,2,2.51
36,1,0.9
36,2,2.47
37,1,0.9
37,2,2.27
38,1,0.89
38,2,2.32
39,1,0.89
39,2,2.45
40,1,0.89
40,2,2.57
41,1,0.88
41,2,2.54
42,1,0.89
42,2,2.53
43,1,0.89
43,2,2.5
44,1,0.9
44,2,2.46
45,1,0.89
45,2,2.45
46,1,0.89
46,2,2.5
47,1,0.89
47,2,2.49
48,1,0.89
48,2,2.22
49,1,0.89
49,2,2.56
50,1,0.89
50,2,2.22
51,1,0.88
51,2,2.56
52,1,0.87
52,2,2.56
53,1,0.85
53,2,2.33
54,1,0.86
54,2,2.48
55,1,0.86
55,2,2.33
56,1,0.86
56,2,2.3
57,1,0.86
57,2,2.42
58,1,0.85
58,2,2.37
59,1,0.85
59,2,2.53
60,1,0.86
60,2,2.26
61,1,0.86
61,2,2.31
62,1,0.86
62,2,2.19
63,1,0.86
63,2,2.45
64,1,0.87
64,2,2.41
65,1,0.86
65,2,2.22
66,1,0.86
66,2,2.26
67,1,0.85
67,2,2.31
68,1,0.85
68,2,2.39
69,1,0.85
69,2,2.51
70,1,0.85
70,2,2.54
71,1,0.84
71,2,2.23
72,1,0.84
72,2,2.41
73,1,0.84
73,2,2.34
74,1,0.84
74,2,2.43
75,1,0.83
75,2,2.25
76,1,0.83
76,2,2.18
77,1,0.85
77,2,2.48
78,1,0.85
78,2,2.26
79,1,0.86
79,2,2.32
80,1,0.85
80,2,2.52
81,1,0.85
81,2,2.29
82,1,0.85
82,2,2.51
83,1,0.86
83,2,2.22
