"order_id","customer_id","order_date","status","credit_card_amount","coupon_amount","bank_transfer_amount","gift_card_amount","amount"
43,31,2018-02-17,completed,0,0,0,18,18
8,2,2018-01-11,returned,23,0,0,0,23
11,99,2018-01-14,completed,27,0,0,0,27
80,11,2018-03-23,shipped,0,0,0,3,3
16,39,2018-01-18,completed,10,0,0,0,10
39,26,2018-02-11,completed,0,0,8,0,8
54,54,2018-02-26,completed,18,0,11,0,29
3,94,2018-01-04,completed,0,1,0,0,1
47,50,2018-02-20,completed,22,0,0,0,22
61,63,2018-03-03,completed,0,0,16,0,16
96,90,2018-04-06,placed,0,0,0,17,17
67,79,2018-03-11,completed,19,0,4,0,23
87,46,2018-03-27,placed,26,0,0,30,56
14,40,2018-01-17,returned,0,0,3,0,3
46,6,2018-02-19,completed,0,0,8,0,8
99,85,2018-04-09,placed,24,0,0,0,24
48,27,2018-02-21,completed,0,0,3,0,3
17,71,2018-01-18,completed,0,0,2,0,2
28,8,2018-01-29,completed,0,0,19,0,19
83,54,2018-03-24,shipped,1,0,0,0,1
36,85,2018-02-10,completed,0,0,9,0,9
94,63,2018-04-03,placed,0,7,0,0,7
15,25,2018-01-17,completed,0,22,0,0,22
66,36,2018-03-10,completed,28,0,0,0,28
77,35,2018-03-21,shipped,0,0,19,0,19
4,50,2018-01-05,completed,0,25,0,0,25
30,69,2018-02-02,completed,13,0,0,0,13
89,21,2018-03-28,placed,0,0,22,0,22
50,51,2018-02-23,completed,26,0,0,0,26
33,42,2018-02-04,completed,22,0,0,0,22
73,19,2018-03-16,completed,0,0,3,0,3
95,27,2018-04-04,placed,0,24,0,0,24
40,33,2018-02-13,completed,14,0,0,0,14
56,79,2018-02-28,completed,4,0,0,0,4
53,34,2018-02-26,completed,3,0,0,0,3
62,57,2018-03-05,completed,0,0,0,14,14
19,54,2018-01-22,completed,0,0,0,6,6
57,93,2018-03-01,completed,0,0,2,0,2
51,71,2018-02-24,completed,30,0,0,0,30
92,84,2018-04-02,placed,0,2,15,0,17
23,22,2018-01-26,return_pending,0,0,0,23,23
31,16,2018-02-02,completed,12,0,0,0,12
35,80,2018-02-08,completed,29,0,0,0,29
65,26,2018-03-08,completed,0,0,0,0,0
52,54,2018-02-25,return_pending,0,0,15,0,15
76,25,2018-03-20,completed,0,2,0,0,2
20,20,2018-01-23,completed,0,0,15,0,15
69,3,2018-03-11,completed,19,0,0,0,19
44,66,2018-02-17,completed,0,0,0,11,11
37,1,2018-02-10,completed,23,0,0,0,23
85,47,2018-03-26,shipped,0,0,17,0,17
34,38,2018-02-06,completed,0,0,15,0,15
82,46,2018-03-24,shipped,8,0,0,0,8
81,76,2018-03-23,shipped,0,2,0,0,2
25,51,2018-01-28,completed,22,16,20,0,58
32,28,2018-02-04,completed,3,0,0,0,3
12,59,2018-01-15,completed,1,0,0,0,1
58,22,2018-03-01,completed,0,18,0,6,24
1,1,2018-01-01,returned,10,0,0,0,10
10,7,2018-01-14,completed,0,0,26,0,26
79,52,2018-03-23,shipped,27,0,0,0,27
26,32,2018-01-28,completed,30,0,0,0,30
42,92,2018-02-16,completed,0,17,0,0,17
90,66,2018-03-30,shipped,0,0,2,0,2
18,64,2018-01-20,returned,13,0,0,0,13
59,30,2018-03-02,completed,0,0,0,28,28
78,90,2018-03-23,shipped,0,0,26,0,26
98,41,2018-04-07,placed,0,0,10,0,10
86,68,2018-03-26,placed,0,23,0,0,23
13,84,2018-01-17,completed,5,0,14,0,19
49,35,2018-02-21,completed,15,0,0,0,15
22,86,2018-01-24,completed,0,0,8,0,8
63,70,2018-03-06,completed,29,0,0,0,29
9,53,2018-01-12,completed,0,0,0,23,23
24,3,2018-01-27,completed,0,26,0,0,26
91,47,2018-03-31,placed,19,0,0,0,19
64,13,2018-03-07,completed,0,0,26,0,26
70,8,2018-03-12,completed,26,0,0,0,26
45,22,2018-02-17,completed,0,0,5,0,5
27,94,2018-01-29,completed,23,0,0,0,23
55,18,2018-02-27,completed,29,0,0,0,29
68,53,2018-03-11,completed,16,0,0,0,16
84,70,2018-03-26,placed,0,0,25,0,25
88,91,2018-03-27,shipped,29,0,0,0,29
38,51,2018-02-10,completed,15,0,0,0,15
60,12,2018-03-03,completed,4,0,0,0,4
74,9,2018-03-17,shipped,30,0,0,0,30
6,54,2018-01-07,completed,6,0,0,0,6
71,42,2018-03-12,shipped,5,0,0,0,5
29,57,2018-01-31,completed,0,0,12,0,12
93,66,2018-04-03,placed,0,0,0,26,26
2,3,2018-01-02,completed,20,0,0,0,20
21,71,2018-01-23,completed,12,0,0,0,12
72,30,2018-03-14,shipped,29,0,0,0,29
97,89,2018-04-07,placed,0,0,14,0,14
41,99,2018-02-14,completed,17,0,0,0,17
75,69,2018-03-18,completed,19,0,0,0,19
5,64,2018-01-05,completed,0,0,17,0,17
7,88,2018-01-09,completed,16,0,0,0,16
